"","bioguide_id","icpsr_id"
"530","W000738",29309
"531","W000793",29931
"532","W000784",29355
"533","Y000031",13047
"534","Y000033",14066
"535","C001064",20539
"536","C000994",29107
"537","S000663",14661
"538","C000984",29587
"539","L000090",14837
"540","N000147",NA
"541","R000004",29505
"542","R000170",29764
"543","R000575",20301
"544","B000461",29508
"545","A000355",49500
"546","A000217",15125
"547","A000215",13002
"548","A000356",49501
"549","B000081",29528
"550","C000107",29332
"551","B001238",20339
"552","B000104",15402
"553","B000134",29363
"554","B000169",29511
"555","B000177",39315
"556","B000229",15003
"557","B000400",29574
"558","B000556",14802
"559","B000619",14407
"560","B000644",15008
"561","B000780",13056
"562","B000993",15700
"563","B000996",29569
"564","C000077",15407
"565","C000100",15600
"566","C001044",20132
"567","C000494",29382
"568","C001034",49701
"569","C000503",15450
"570","C000653",15093
"571","C000670",15635
"572","C000722",29765
"573","C000735",29726
"574","C000846",14808
"575","D000046",29370
"576","D000064",14617
"577","D000373",14620
"578","E000093",29529
"579","E000282",29115
"580","F000442",49900
"581","F000441",29917
"582","F000257",29542
"583","F000328",29329
"584","G000120",14825
"585","G000121",15026
"586","G000212",14015
"587","G000291",14288
"588","G000333",14904
"589","G000352",15503
"590","G000365",14628
"591","G000547",20128
"592","H000074",14632
"593","H000172",14829
"594","H000463",14105
"595","H000605",29738
"596","H000615",29568
"597","H000621",29302
"598","H000725",11204
"599","H001015",29306
"600","H001014",29704
"601","J000286",20348
"602","J000110",29727
"603","K000016",15030
"604","K000359",20118
"605","K000357",29904
"606","L000556",14248
"607","L000096",29554
"608","L000155",29374
"609","L000521",29533
"610","M000090",29712
"611","M000212",29562
"612","M000350",14842
"613","M000481",29518
"614","M000628",29334
"615","M000669",29578
"616","M000720",29333
"617","M001141",49904
"618","M000795",29366
"619","M000797",10757
"620","M000834",14039
"621","M000941",15434
"622","M001054",14508
"623","M001085",14907
"624","N000102",14908
"625","P000005",15051
"626","P000171",29719
"627","P000584",29913
"628","P000326",15437
"629","P000444",14677
"630","C001043",40102
"631","E000286",49902
"632","R000258",29700
"633","R000281",29531
"634","R000386",29708
"635","R000460",11044
"636","R000465",14855
"637","S000018",29500
"638","S000051",29565
"639","S000094",15442
"640","S000106",39508
"641","S000112",29711
"642","S001147",29920
"643","S000394",14052
"644","S000463",14861
"645","S000606",15116
"646","S000718",13042
"647","S001044",14454
"648","T000457",49503
"649","T000253",29330
"650","T000254",9369
"651","T000317",15071
"652","T000350",15121
"653","V000087",14458
"654","W000194",14462
"655","W000288",49101
"656","W000315",29753
"657","H000789",29320
"658","R000385",29117
"659","W000210",29556
"660","H000814",15423
"661","A000359",NA
"662","H001030",29914
"663","T000058",14679
"664","D000424",29105
"665","S000851",14664
"666","B001241",20354
"667","R000568",29771
"668","M001145",20318
"669","G000132",14421
"670","B000403",14605
"671","O000164",29902
"672","S001151",20142
"673","N000051",29581
"674","Q000016",29381
"675","G000439",29397
"676","D000549",39312
"677","K000259",15082
"678","T000424",29758
"679","H001031",29934
"680","M000316",29535
"681","L000558",29916
"682","F000392",14626
"683","B001249",20320
"684","S000044",29757
"685","C000640",29340
"686","L000043",29761
"687","S000597",29364
"688","T000461",29935
"689","D000275",29335
"690","C000873",12041
"691","G000336",15605
"692","M000477",29326
"693","L000342",15036
"694","C001070",40703
"695","C001071",40705
"696","K000367",40700
"697","M001170",40701
"698","W000802",40704
"699","T000464",40702
"700","W000803",40706
"701","A000362",20743
"702","A000363",20736
"703","B001256",20728
"704","B001257",20758
"705","B001258",20721
"706","B001259",20719
"707","B001260",20709
"708","C001065",20746
"709","C001066",20708
"710","C001067",20733
"711","C001068",20748
"712","C001069",20706
"713","D000606",20747
"714","D000607",20717
"715","E000288",20727
"716","E000289",20718
"717","F000453",20742
"718","G000554",20701
"719","G000555",20735
"720","H001039",20734
"721","H001040",20716
"722","H001041",20730
"723","H001042",20713
"724","H001043",20732
"725","J000288",20712
"726","J000289",20738
"727","K000365",20751
"728","K000366",20711
"729","L000564",20704
"730","L000565",20720
"731","M001164",20710
"732","M001165",20703
"733","M001166",20702
"734","M001167",20700
"735","M001169",20707
"736","M001168",20745
"737","P000593",20705
"738","R000580",20715
"739","S001167",20714
"740","S001168",20724
"741","S001169",20744
"742","S001170",20731
"743","S001171",20737
"744","S001165",20542
"745","S001172",20729
"746","S001173",20741
"747","S001174",20740
"748","W000798",20725
"749","W000799",20726
"750","W000800",20750
"751","W000801",20739
"752","Y000062",20723
"753","C000052",15090
"754","S001166",20541
"755","B001261",40707
"756","B001262",20753
"757","R000581",20752
"758","T000465",20754
"759","L000566",20755
"760","W000804",20756
"761","G000225",14627
"762","L000371",14469
"763","D000018",14900
"764","G000041",29521
"765","U000014",NA
"766","B000518",29716
"767","B001237",40106
"768","S001175",20762
"769","C000488",12009
"770","M000019",15037
"771","C001073",20760
"772","S001176",20759
"773","C001074",20761
"774","C001072",20757
"775","E000290",20763
"776","R000295",15705
"777","K000146",15702
"778","G000367",29367
"779","F000454",20749
"780","S000453",15060
"781","B000179",29129
"782","F000349",29371
"783","R000417",NA
"784","C000345",29514
"785","D000312",29307
"786","M000206",14879
"787","K000270",29395
"788","W000654",15077
"789","R000584",40902
"790","J000291",40905
"791","S001181",40906
"792","H001049",40907
"793","M001176",40908
"794","W000805",40909
"795","B001264",20900
"796","G000557",20901
"797","K000368",20902
"798","M001177",20903
"799","H001048",20963
"800","P000598",20904
"801","M001172",20905
"802","C001077",20906
"803","H001047",20907
"804","G000556",20908
"805","P000599",20909
"806","R000583",20910
"807","K000370",20911
"808","M001175",20912
"809","H001044",20913
"810","S001179",20914
"811","J000290",20915
"812","G000558",20916
"813","C001079",20917
"814","F000456",20918
"815","C001075",20919
"816","P000597",20920
"817","K000371",20921
"818","S001178",20922
"819","P000595",20923
"820","P000594",20924
"821","H001045",20925
"822","L000569",20926
"823","T000468",20927
"824","A000364",20928
"825","L000567",20929
"826","H001046",20930
"827","T000466",20931
"828","L000570",20932
"829","M001174",20933
"830","T000469",20934
"831","M001171",20935
"832","L000568",20936
"833","M001173",20937
"834","K000369",20938
"835","D000609",20939
"836","A000365",20940
"837","K000372",20942
"838","B001263",20943
"839","S001180",20944
"840","D000608",20945
"841","T000467",20946
"842","R000582",20947
"843","O000168",20948
"844","C001076",20949
"845","N000183",20950
"846","P000600",20951
"847","C001078",20952
"848","L000571",20953
"849","P000596",NA
"850","S001177",NA
"851","F000455",20941
"852","B001265",40900
"853","B001266",40903
"854","K000373",40901
"855","B001267",40910
"856","Q000023",20954
"857","M001178",20956
"858","F000457",40904
"859","C001080",20955
"860","L000572",40911
"861","K000374",40912
"862","G000559",20958
"863","O000169",20957
"864","K000088",49302
"865","M000688",14648
"866","E000084",10721
"867","M000992",15045
"868","H000367",10595
"869","M000842",14846
"870","P000328",10614
"871","l000305",15106
"872","D000366",14902
"873","R000497",14909
"874","C000269",14500
"875","W000253",12032
"876","J000120",29343
"877","C000377",29536
"878","R000249",11043
"879","K000118",14877
"880","B000971",15088
"881","C000813",49301
"882","B000918",10573
"883","A000002",2
"884","A000009",14000
"885","A000011",10568
"886","A000016",13
"887","A000017",13000
"888","A000018",13001
"889","A000024",18
"890","A000031",10700
"891","A000052",10500
"892","A000054",46
"893","A000062",52
"894","A000073",62
"895","A000076",14600
"896","A000094",82
"897","A000103",12000
"898","A000105",92
"899","A000106",93
"900","A000118",14286
"901","A000127",12100
"902","A000138",121
"903","A000139",14517
"904","A000161",142
"905","A000170",14200
"906","A000177",14401
"907","A000179",158
"908","A000186",165
"909","A000189",12001
"910","A000200",177
"911","A000202",14513
"912","A000204",10702
"913","A000205",13053
"914","A000207",14001
"915","A000208",10569
"916","A000209",15001
"917","A000211",29121
"918","A000255",205
"919","A000212",10703
"920","A000213",14601
"921","A000214",14402
"922","A000216",226
"923","A000220",14878
"924","A000221",10502
"925","A000222",267
"926","A000223",270
"927","A000224",13003
"928","A000225",275
"929","A000226",15084
"930","A000329",14602
"931","A000227",291
"932","A000337",14201
"933","A000228",301
"934","B000008",29112
"935","B000024",14403
"936","B000025",13004
"937","B000028",29353
"938","B000029",14003
"939","B000035",339
"940","B000037",14603
"941","B000047",14800
"942","B000062",364
"943","B000064",10570
"944","B000069",13005
"945","B000083",14202
"946","B000108",10704
"947","B001226",39314
"948","B000139",431
"949","B000141",433
"950","B000151",29351
"951","B000153",14404
"952","B000160",14604
"953","B000170",458
"954","B000178",465
"955","B000190",476
"956","B000200",14100
"957","B000201",486
"958","B000204",15002
"959","B000222",503
"960","B000223",504
"961","B000236",15004
"962","B000239",518
"963","B000241",10503
"964","B000244",14069
"965","B000245",521
"966","B000254",10800
"967","B000272",12002
"968","B000279",14204
"969","B000280",14004
"970","B000292",563
"971","B000296",567
"972","B000298",14205
"973","B000310",10504
"974","B000315",13006
"975","B000318",14405
"976","B000323",590
"977","B000330",10505
"978","B000351",12101
"979","B000358",14801
"980","B000362",NA
"981","B000363",14406
"982","B000371",633
"983","B000377",639
"984","B000384",645
"985","B000391",652
"986","B000392",15086
"987","B000401",660
"988","B000408",13007
"989","B000416",672
"990","B000422",14606
"991","B000426",680
"992","B000431",11000
"993","B000432",12003
"994","B000436",688
"995","B000451",11001
"996","B000462",15403
"997","B000472",10705
"998","B000506",11002
"999","B000517",29140
"1000","B000536",777
"1001","B000538",14206
"1002","B000548",11003
"1003","B000550",789
"1004","B000551",NA
"1005","B000561",798
"1006","B000567",14207
"1007","B000576",29357
"1008","B000592",14067
"1009","B000593",823
"1010","B000594",824
"1011","B000600",830
"1012","B000605",835
"1013","B000607",837
"1014","B000608",838
"1015","B000615",14607
"1016","B000620",14208
