id,year,fips_new,fips_old,hand check,note
C001083,1977,33009,,n,
C001083,1978,10003,33009,,
C001083,1978,33009,33009,,
C001083,1979,10003,,w,
C001083,1980,10003,,w,
C001083,1981,10003,,w,
C001083,1982,10003,,w,
C001083,1983,10003,,w,
C001083,1984,10003,,w,
C001083,1985,10003,,w,
C001083,1986,11001,10001,b,
C001083,1986,10003,10001,,
C001083,1987,11001,,n,
C001083,1988,11001,,n,
C001083,1989,10003,,n,
C001083,1989,11001,,n,
C001083,1990,10003,,n,
C001083,1991,10003,,n,
C001083,1992,10003,,n,
C001083,1993,10003,,n,
C001083,1994,10001,,n,
C001083,1994,10001,10003,,
C001083,1994,10003,,,
C001083,1994,10003,10003,,
C001083,1995,10001,10003,n,
C001083,1996,10001,10003,n,
C001083,1997,10001,10003,n,
C001083,1997,10001,,n,
C001083,1998,10001,,n,
C001083,1999,10001,,n,
C001083,2000,10001,,n,
C001083,2001,10001,,n,
C001083,2002,10001,,n,
C001083,2003,10001,,n,
C001083,2004,10001,,n,
C001083,2005,10001,,n,
C001083,2006,10001,,n,
C001083,2007,10001,,n,
C001083,2008,10001,,n,
C001083,2009,10001,,n,
C001083,2010,,,,
C001083,2011,11001,,,
C001083,2012,11001,,,
C001083,2013,11001,,,
C001083,2014,11001,,,
C001083,2015,11001,,,
C001083,2016,11001,,,
C001083,2017,10001,,,
C001083,2017,11001,,,
C001083,2018,10001,,,
C001083,2019,10001,,,
C001083,2020,10001,,,
C001083,2021,10001,,,
C001083,2022,10001,,,
C001083,2023,10001,,,
C001085,1957,26163,26163,b,
C001085,1958,26163,,n,
C001085,1959,26163,,n,
C001085,1960,26163,,n,
C001085,1961,26163,,n,
C001085,1962,26163,,n,
C001085,1963,26163,,n,
C001085,1964,26163,,n,
C001085,1965,26163,,n,
C001085,1966,26163,,n,
C001085,1967,26163,,n,
C001085,1968,26163,,n,
C001085,1969,26163,,n,
C001085,1970,26163,,n,
C001085,1971,26163,,n,
C001085,1972,26163,,n,
C001085,1973,26163,,n,
C001085,1974,26163,,n,
C001085,1975,33015,,n,
C001085,1975,26163,,n,
C001085,1976,26163,,n,
C001085,1976,33015,,n,
C001085,1977,25009,,n,
C001085,1977,26163,,n,
C001085,1978,25009,,n,
C001085,1979,25009,,n,
C001085,1980,36109,,n,
C001085,1980,25009,,n,
C001085,1981,36109,,n,
C001085,1982,36109,,n,
C001085,1983,36109,,n,
C001085,1984,11001,,,
C001085,1984,36109,,,
C001085,1985,11001,,n,
C001085,1986,11001,,n,
C001085,1987,11001,,n,
C001085,1989,,26163,o,
C001085,1990,,26163,o,
C001085,1992,,,,
C001085,2001,26163,,w,
C001085,2003,,26065,,
C001085,2004,,26065,,
C001085,2005,,26065,,
C001085,2006,,26065,,
C001085,2007,,26065,,
C001085,2008,,26065,,
C001085,2009,,26065,,
C001085,2010,,26065,,
C001085,2010,,,,
C001085,2011,11001,26065,,
C001085,2012,11001,,,
C001085,2013,11001,,,
C001085,2014,,,,
C001087,1966,12086,12086,b,
C001087,1967,12086,,n,
C001087,1968,12086,,n,
C001087,1969,12086,,n,
C001087,1970,12086,,n,
C001087,1971,12086,,n,
C001087,1972,12086,,n,
C001087,1973,12086,,n,
C001087,1974,12086,,n,
C001087,1975,12086,,n,
C001087,1976,12086,,n,
C001087,1977,12086,,n,
C001087,1978,12086,,n,
C001087,1979,12086,,n,
C001087,1980,12086,,n,
C001087,1981,12086,,n,
C001087,1982,12086,,w,"should be in Hudson, N.H."
C001087,1983,12086,,w,"should be in Hudson, N.H."
C001087,1984,12086,,w,"should be in Hudson, N.H."
C001087,1985,12086,,w,"should be in Hudson, N.H."
