id,year,fips_new,fips_old
B001149,1967.0,18097.0,
B001149,1968.0,18097.0,
B001149,1969.0,18097.0,
B001149,1970.0,18097.0,
B001149,1971.0,18097.0,
B001149,1972.0,18097.0,
B001149,1973.0,18097.0,
B001149,1974.0,18097.0,
B001149,1975.0,18097.0,
B001149,1976.0,18097.0,
B001149,1977.0,18097.0,
B001149,1980.0,18097.0,
B001149,1981.0,18097.0,
B001149,1982.0,11001.0,
B001149,1983.0,11001.0,
B001149,1984.0,11001.0,
B001149,1985.0,11001.0,
B001149,1986.0,11001.0,
B001149,1987.0,11001.0,
B001149,1988.0,11001.0,
B001149,1989.0,11001.0,
B001149,1990.0,11001.0,
B001149,1991.0,11001.0,
B001149,1992.0,11001.0,
B001149,1993.0,11001.0,
B001149,1994.0,11001.0,
B001149,1995.0,11001.0,
B001149,1996.0,11001.0,
B001149,1997.0,11001.0,
B001149,1998.0,11001.0,
B001149,1999.0,11001.0,
B001149,2000.0,11001.0,
B001149,2001.0,11001.0,
B001149,2002.0,11001.0,
B001149,2003.0,11001.0,
B001149,2004.0,11001.0,
B001149,2005.0,11001.0,
B001149,2006.0,11001.0,
B001149,2007.0,11001.0,
B001149,2008.0,11001.0,
B001149,2009.0,11001.0,
B001149,2010.0,11001.0,
B001149,2011.0,11001.0,
B001149,2012.0,11001.0,
B001149,2013.0,11001.0,
B001240,1948.0,8013.0,
B001240,1949.0,8013.0,
B001240,1950.0,8013.0,
B001240,1951.0,8013.0,
B001240,1952.0,8013.0,
B001240,1953.0,8013.0,
B001240,1954.0,8013.0,
B001240,1955.0,8013.0,
B001240,1956.0,8013.0,
B001240,1957.0,8013.0,
B001240,1958.0,8013.0,
B001240,1959.0,8013.0,
B001240,1960.0,8013.0,
B001240,1961.0,8013.0,
B001240,1962.0,8013.0,
B001240,1963.0,8013.0,
B001240,1964.0,8013.0,
B001240,1965.0,8013.0,
B001240,1966.0,8013.0,
B001240,1967.0,8013.0,
B001240,1968.0,8013.0,
B001240,1969.0,8013.0,
B001240,1970.0,8013.0,8013
B001240,1999.0,,8005
B001240,2000.0,,8005
B001240,2001.0,,8005
B001240,2002.0,,8005
B001240,2006.0,,
B001240,2014.0,,
B001266,1937.0,17121.0,
B001266,1938.0,17121.0,
B001266,1939.0,17121.0,
B001266,1940.0,17121.0,
B001266,1941.0,17121.0,
B001266,1942.0,17121.0,
B001266,1943.0,17121.0,
B001266,1944.0,17121.0,
B001266,1945.0,17121.0,
B001266,1946.0,17121.0,
B001266,1947.0,17121.0,
B001266,1948.0,17121.0,
B001266,1949.0,17121.0,
B001266,1950.0,17121.0,
B001266,1951.0,17121.0,
B001266,1952.0,17121.0,
B001266,1953.0,17121.0,
B001266,1954.0,17121.0,
B001266,1955.0,17121.0,
B001266,1956.0,17121.0,
B001266,1957.0,17121.0,
B001266,1958.0,17121.0,
B001266,1959.0,11001.0,17077
B001266,1959.0,17121.0,17077
B001266,1960.0,11001.0,
B001266,1961.0,11001.0,
B001266,1962.0,11001.0,
B001266,1963.0,11001.0,
B001266,1964.0,,
B001266,1973.0,17113.0,
B001266,1974.0,17113.0,
B001266,1975.0,17113.0,
B001266,1976.0,17113.0,
B001266,1977.0,,
B001266,1978.0,,
B001266,1979.0,,
B001266,1980.0,,
B001266,1981.0,,
B001266,1982.0,,
B001266,1983.0,,
B001266,1984.0,,
B001266,1985.0,,
B001266,1986.0,,
B001266,1987.0,,
B001266,1988.0,,
B001266,1989.0,,
B001266,1990.0,,
B001266,1991.0,,
B001266,1992.0,,
B001266,1993.0,,
B001266,1994.0,,
B001266,1995.0,17031.0,
B001266,1996.0,17031.0,
B001266,1997.0,17031.0,
B001266,1998.0,17031.0,
B001266,1999.0,17031.0,
B001266,2000.0,17031.0,
B001266,2001.0,17031.0,
B001266,2002.0,17031.0,
B001266,2003.0,17031.0,
B001266,2004.0,17031.0,
B001266,2005.0,17031.0,
B001266,2006.0,17031.0,
B001266,2007.0,17031.0,
B001266,2008.0,17031.0,
B001272,1959.0,38005.0,
B001272,1960.0,38005.0,
B001272,1961.0,38005.0,
B001272,1962.0,38005.0,
B001272,1963.0,38005.0,
B001272,1964.0,38005.0,
B001272,1965.0,38005.0,
B001272,1966.0,38005.0,
B001272,1967.0,38005.0,
B001272,1968.0,38005.0,
B001272,1969.0,38005.0,
B001272,1970.0,38005.0,
B001272,1971.0,38005.0,
B001272,1972.0,38005.0,
B001272,1973.0,38005.0,
B001272,1974.0,38005.0,
B001272,1975.0,38005.0,
B001272,1976.0,38005.0,
B001272,1977.0,38077.0,38001
B001272,1977.0,38077.0,38077
B001272,1977.0,38005.0,38001
B001272,1977.0,38005.0,38077
B001272,1978.0,38017.0,38077
B001272,1978.0,38077.0,38077
B001272,1979.0,38017.0,
B001272,1980.0,38017.0,
B001272,1981.0,38017.0,38017
B001272,1982.0,,
B001272,1983.0,,
B001272,1984.0,,
B001272,1985.0,,
B001272,1985.0,,38015
B001272,1986.0,,
B001272,1986.0,,38015
B001272,1987.0,,
B001272,1987.0,,38015
B001272,1988.0,,
B001272,1988.0,,38015
B001272,1989.0,,
B001272,1989.0,,38015
B001272,1990.0,,
B001272,1990.0,,38015
B001272,1991.0,,
B001272,1991.0,,38015
B001272,1992.0,,
B001272,1992.0,,38015
B001272,1993.0,,
B001272,1993.0,,38015
B001272,1994.0,,
B001272,1994.0,,38015
B001272,1995.0,,
B001272,1995.0,,38015
B001272,1996.0,,
B001272,1996.0,,38015
B001272,1997.0,,
B001272,1997.0,,38015
B001272,1998.0,,
B001272,1998.0,,38015
B001272,1999.0,,
B001272,1999.0,,38015
B001272,2000.0,,
B001272,2000.0,,38015
B001272,2001.0,,
B001272,2001.0,,38015
B001272,2002.0,,
B001272,2002.0,,38015
B001272,2003.0,,
B001272,2003.0,,38015
B001272,2004.0,,
B001272,2004.0,,38015
B001272,2005.0,,
B001272,2005.0,,38015
B001272,2006.0,,
B001272,2006.0,,38015
B001272,2007.0,,
B001272,2007.0,,38015
B001272,2008.0,,
B001272,2008.0,,38015
B001272,2009.0,,
B001272,2009.0,,38015
B001272,2010.0,,
B001272,2010.0,,38015
B001272,2011.0,11001.0,
B001272,2011.0,11001.0,38015
B001272,2012.0,11001.0,
B001272,2013.0,11001.0,
B001276,1951.0,36011.0,36011
B001276,1952.0,36011.0,
B001276,1953.0,36011.0,
B001276,1954.0,36011.0,
B001276,1955.0,36011.0,
B001276,1956.0,36011.0,
B001276,1957.0,36011.0,
B001276,1958.0,36011.0,
B001276,1959.0,36011.0,
B001276,1960.0,36011.0,
B001276,1961.0,36011.0,
B001276,1962.0,36011.0,
B001276,1963.0,36011.0,
B001276,1964.0,36011.0,
B001276,1965.0,36011.0,
B001276,1966.0,36011.0,
B001276,1967.0,36011.0,
B001276,1968.0,36011.0,
B001276,1969.0,36011.0,
B001276,1970.0,36011.0,
B001276,1971.0,36011.0,
B001276,1972.0,36067.0,36067
B001276,1972.0,36011.0,36067
B001276,1973.0,36067.0,
B001276,1974.0,36067.0,
B001276,1975.0,36067.0,
B001276,1976.0,36067.0,
B001276,1977.0,36067.0,36067
B001276,1978.0,36067.0,
B001276,1979.0,36067.0,
B001276,1980.0,36067.0,
B001276,1981.0,36067.0,
B001276,1982.0,36067.0,
B001276,1983.0,36067.0,
B001276,1984.0,36067.0,
B001276,1985.0,36067.0,
B001276,1986.0,36067.0,
B001276,1987.0,36067.0,
B001276,1988.0,36067.0,
B001276,1989.0,36067.0,
B001276,1990.0,36067.0,
B001276,1991.0,36067.0,
B001276,1992.0,36067.0,
B001276,1993.0,36067.0,
B001276,1994.0,36067.0,36067
B001276,1995.0,36067.0,36067
B001276,1997.0,,36047
B001276,1998.0,,36047
B001276,1999.0,,36047
B001276,2000.0,,36047
B001276,2001.0,,36047
B001276,2002.0,,36047
B001276,2003.0,,36047
B001276,2004.0,,36047
B001276,2005.0,,36047
B001276,2006.0,,36047
B001276,2007.0,,36047
B001276,2008.0,,36047
B001276,2009.0,,36047
B001276,2010.0,,36047
B001276,2010.0,,
B001276,2012.0,,
B001302,1958.0,4019.0,
B001302,1959.0,4019.0,
B001302,1960.0,4019.0,
B001302,1961.0,4019.0,
B001302,1962.0,4019.0,
B001302,1963.0,4019.0,
B001302,1964.0,4019.0,
B001302,1965.0,4019.0,
B001302,1966.0,4019.0,
B001302,1967.0,4019.0,
B001302,1968.0,4019.0,
B001302,1969.0,4019.0,
B001302,1970.0,4019.0,
B001302,1971.0,4019.0,
B001302,1972.0,4019.0,
B001302,1973.0,4019.0,
B001302,1974.0,4019.0,
B001302,1975.0,4019.0,
B001302,1976.0,4019.0,
B001302,1977.0,4019.0,
B001302,1978.0,4019.0,
B001302,1979.0,4019.0,
B001302,1980.0,4019.0,
B001302,1981.0,4019.0,
B001302,1982.0,4019.0,
B001302,1983.0,4019.0,
B001302,1984.0,4019.0,
B001302,1999.0,4013.0,
B001302,2000.0,4013.0,
B001302,2001.0,4013.0,
B001302,2002.0,4013.0,
B001302,2003.0,4013.0,
B001302,2017.0,11001.0,
B001302,2018.0,11001.0,
B001302,2019.0,11001.0,
B001302,2020.0,11001.0,
B001302,2021.0,11001.0,
B001302,2022.0,11001.0,
B001302,2023.0,11001.0,
C000754,1954.0,47037.0,
C000754,1955.0,47037.0,
C000754,1956.0,47037.0,
C000754,1957.0,47037.0,
C000754,1958.0,47037.0,
C000754,1959.0,47037.0,
C000754,1960.0,47037.0,
C000754,1961.0,47037.0,
C000754,1962.0,47037.0,
C000754,1963.0,47037.0,
C000754,1964.0,47037.0,
C000754,1965.0,47037.0,
C000754,1966.0,47037.0,
C000754,1967.0,47037.0,
C000754,1968.0,47037.0,
C000754,1969.0,47037.0,
C000754,1970.0,47037.0,
C000754,1971.0,47037.0,
C000754,1972.0,37135.0,25017
C000754,1972.0,47037.0,25017
C000754,1973.0,37135.0,
C000754,1974.0,37135.0,
C000754,1975.0,37135.0,
C000754,1977.0,25017.0,
C000754,1978.0,25017.0,
C000754,1979.0,25017.0,
C000754,1980.0,25017.0,25017
C000754,1980.0,25017.0,25017
C000754,1981.0,,47037
C000754,1982.0,,47037
C000754,1982.0,,
C000754,1983.0,,
C000754,1984.0,,
C000754,1985.0,,
C000754,1986.0,,
C000754,1987.0,,
C000754,1988.0,,
C000754,1989.0,,
C000754,1990.0,,
C000754,1991.0,,
C000754,1992.0,,
C000754,1993.0,,
C000754,1994.0,,
C000754,1995.0,,
C000754,1996.0,,
C000754,1997.0,,
C000754,1998.0,,
C000754,1999.0,,
C000754,2000.0,,
C000754,2001.0,,
C000754,2002.0,,
C000754,2003.0,,
C000754,2004.0,,
C000754,2005.0,,
C000754,2006.0,,
C000754,2007.0,,
C000754,2008.0,,
C000754,2009.0,,
C000754,2010.0,,
C000754,2011.0,,
C000754,2012.0,,
C000754,2013.0,,
C000754,2014.0,,
C000754,2015.0,,
C000754,2016.0,,
C000754,2017.0,,
C000994,1941.0,6037.0,6037
C000994,1942.0,6037.0,
C000994,1943.0,6037.0,
C000994,1944.0,6037.0,
C000994,1945.0,6037.0,
C000994,1946.0,6037.0,
C000994,1947.0,6037.0,
C000994,1948.0,6037.0,
C000994,1949.0,6037.0,
C000994,1950.0,6037.0,
C000994,1951.0,6037.0,
C000994,1952.0,6037.0,
C000994,1953.0,6037.0,
C000994,1954.0,6037.0,
C000994,1955.0,6037.0,
C000994,1956.0,6037.0,
C000994,1957.0,6037.0,
C000994,1958.0,6037.0,
C000994,1959.0,6037.0,
C000994,1960.0,6037.0,
C000994,1961.0,6037.0,
C000994,1962.0,6037.0,
C000994,1963.0,6037.0,
C000994,1964.0,29019.0,
C000994,1964.0,6037.0,
C000994,1965.0,29019.0,29019
C000994,1966.0,,
C000994,1967.0,,
C000994,1968.0,,
C000994,1969.0,,
C000994,1970.0,,
C000994,1971.0,,
C000994,1972.0,,
C000994,1973.0,,
C000994,1974.0,,34003
C000994,1974.0,,
C000994,1975.0,,34003
C000994,1975.0,,
C000994,1976.0,,34003
